 process id | arrival time | service time
 1 - 1000   | in seconds   | in seconds
------------------------------------------
 1          | 0.2214179188 | 1.8487658501
 2          | 0.5001825094 | 1.7106548548
 3          | 1.4274656773 | 1.2441620827
 4          | 1.5770841837 | 1.7389695644
 5          | 2.4880394936 | 1.7540705204
 6          | 2.6946990490 | 0.0476217046
 7          | 3.2726538181 | 1.6456443071
 8          | 3.4269351959 | 0.1229994446
 9          | 3.8665707111 | 1.6494271755
 10         | 4.6266388893 | 1.2950314283
 11         | 5.5592689514 | 0.3971031606
 12         | 6.4902305603 | 1.9583852291
 13         | 7.1855998039 | 0.6571857929
 14         | 8.1328067780 | 1.6628578901
 15         | 8.5649662018 | 1.6279857159
 16         | 8.6251735687 | 1.3071556091
 17         | 9.3635492325 | 0.6779435873
 18         | 9.8724546432 | 1.3313177824
 19         | 10.8335075378 | 1.3170474768
 20         | 11.3686513901 | 1.7440165281
 21         | 11.9042100906 | 1.4836065769
 22         | 12.8000288010 | 0.2270274311
 23         | 13.3646545410 | 0.1002007946
 24         | 13.5396680832 | 0.0085219406
 25         | 14.4144821167 | 1.8701632023
 26         | 15.0662584305 | 1.6148885489
 27         | 15.1998920441 | 1.1654763222
 28         | 15.9865293503 | 1.6580049992
 29         | 16.8978595734 | 1.4676872492
 30         | 17.5582904816 | 0.6869819164
 31         | 18.1061267853 | 1.4412772655
 32         | 19.1031951904 | 0.5724245906
 33         | 19.1628055573 | 1.0119481087
 34         | 20.1146774292 | 0.0413264781
 35         | 20.2791748047 | 0.9740297794
 36         | 21.1718463898 | 1.4001134634
 37         | 21.4006652832 | 1.5769811869
 38         | 22.2142353058 | 1.5868872404
 39         | 23.0528259277 | 1.9771677256
 40         | 23.8505306244 | 1.4268100262
 41         | 24.7741966248 | 0.8989625573
 42         | 25.2950458527 | 0.1145974249
 43         | 25.3272647858 | 0.6149722338
 44         | 26.2135658264 | 1.8871010542
 45         | 26.2548961639 | 1.0934653282
 46         | 26.5419368744 | 1.1783324480
 47         | 26.8093090057 | 0.5682204962
 48         | 27.6846866608 | 0.6539635062
 49         | 28.4747714996 | 1.6544994116
 50         | 28.8224163055 | 1.9091640711
 51         | 29.1366806030 | 0.4806329608
 52         | 29.7913188934 | 1.0861655474
 53         | 29.8201255798 | 0.9364184737
 54         | 30.1566524506 | 1.7347960472
 55         | 30.6134452820 | 0.2684620917
 56         | 31.1942481995 | 0.7609172463
 57         | 31.7779598236 | 0.2033045888
 58         | 32.2157173157 | 1.2318634987
 59         | 32.6248550415 | 0.6481170654
 60         | 33.1843376160 | 0.9009362459
 61         | 34.0551300049 | 1.6930475235
 62         | 34.0947647095 | 0.2763250470
 63         | 34.2253990173 | 1.8300256729
 64         | 34.6905441284 | 1.8414366245
 65         | 35.4328079224 | 1.6255785227
 66         | 36.3081092834 | 0.1130541638
 67         | 36.3612136841 | 1.0598783493
 68         | 36.9608230591 | 0.1638256013
 69         | 37.9589729309 | 1.8722724915
 70         | 38.9082832336 | 0.9098830819
 71         | 38.9786491394 | 1.0602277517
 72         | 39.8140487671 | 1.3081592321
 73         | 40.4458160400 | 0.5463150144
 74         | 40.7158279419 | 0.0818092078
 75         | 41.3130455017 | 1.6589874029
 76         | 41.8044166565 | 0.9360145330
 77         | 42.4804344177 | 1.0620141029
 78         | 43.0866050720 | 1.6133029461
 79         | 43.5326232910 | 0.1426281035
 80         | 44.2599945068 | 0.3765648007
 81         | 45.1440963745 | 1.2053403854
 82         | 45.3889045715 | 1.8744181395
 83         | 45.5215148926 | 1.6888387203
 84         | 45.5406379700 | 0.2615154982
 85         | 46.3211936951 | 1.9368654490
 86         | 46.9068946838 | 1.7018458843
 87         | 47.4054412842 | 0.8421989083
 88         | 47.9104423523 | 0.2606256008
 89         | 48.6046981812 | 1.5500279665
 90         | 48.7759170532 | 0.5829460025
 91         | 49.3804244995 | 1.3251802921
 92         | 50.1399040222 | 0.5610503554
 93         | 50.3334999084 | 0.7313001156
 94         | 50.4206771851 | 1.2792342901
 95         | 50.8576431274 | 1.6290929317
 96         | 51.6855430603 | 0.6421348453
 97         | 52.1027603149 | 0.1454180330
 98         | 52.3610382080 | 1.0996520519
 99         | 53.2781677246 | 0.5547966361
 100        | 53.9587516785 | 1.3953679800
 101        | 54.2045822144 | 0.5325660706
 102        | 54.7531890869 | 1.4887552261
 103        | 55.4405708313 | 0.1072189510
 104        | 56.3152618408 | 0.7632789016
 105        | 57.1438865662 | 0.0918156952
 106        | 57.8169975281 | 0.8662623167
 107        | 58.5254974365 | 0.8651854992
 108        | 59.2391548157 | 1.8041903973
 109        | 60.0373992920 | 1.6016659737
 110        | 60.5791130066 | 0.4704138339
 111        | 61.1944923401 | 0.7392237782
 112        | 61.7507667542 | 0.0651923120
 113        | 62.1930885315 | 1.6291016340
 114        | 62.7755088806 | 0.7188984752
 115        | 62.8674583435 | 0.5260118842
 116        | 62.9245910645 | 0.6755603552
 117        | 63.4538803101 | 1.2114802599
 118        | 63.5360374451 | 0.4333429337
 119        | 64.1953887939 | 1.9136965275
